"Time","Value"
2025-11-20 03:08:00,1
2025-11-20 03:10:00,1
2025-11-20 03:12:00,1
2025-11-20 03:14:00,1
2025-11-20 03:16:00,1
2025-11-20 03:18:00,1
2025-11-20 03:20:00,1
2025-11-20 03:22:00,1
2025-11-20 03:24:00,1
2025-11-20 03:26:00,1
2025-11-20 03:28:00,1
2025-11-20 03:30:00,1
2025-11-20 03:32:00,1
2025-11-20 03:34:00,1
2025-11-20 03:36:00,1
2025-11-20 03:38:00,1
2025-11-20 03:40:00,1
2025-11-20 03:42:00,1
2025-11-20 03:44:00,1
2025-11-20 03:46:00,1
2025-11-20 03:48:00,1
2025-11-20 03:50:00,1
2025-11-20 03:52:00,1
2025-11-20 03:54:00,1
2025-11-20 03:56:00,1
2025-11-20 03:58:00,1
2025-11-20 04:00:00,1
2025-11-20 04:02:00,3
2025-11-20 04:04:00,8
2025-11-20 04:06:00,8
2025-11-20 04:08:00,8
2025-11-20 04:10:00,10
2025-11-20 04:12:00,13
2025-11-20 04:14:00,16
2025-11-20 04:16:00,20
2025-11-20 04:18:00,20
2025-11-20 04:20:00,23
2025-11-20 04:22:00,28
2025-11-20 04:24:00,28
2025-11-20 04:26:00,32
2025-11-20 04:28:00,32
2025-11-20 04:30:00,37
2025-11-20 04:32:00,37
2025-11-20 04:34:00,37
2025-11-20 04:36:00,37
2025-11-20 04:38:00,37
2025-11-20 04:40:00,37
2025-11-20 04:42:00,37
2025-11-20 04:44:00,37
2025-11-20 04:46:00,37
2025-11-20 04:48:00,37
2025-11-20 04:50:00,37
2025-11-20 04:52:00,37
2025-11-20 04:54:00,120
2025-11-20 04:56:00,130
2025-11-20 04:58:00,139
2025-11-20 05:00:00,149
2025-11-20 05:02:00,151
2025-11-20 05:04:00,153
2025-11-20 05:06:00,169
2025-11-20 05:08:00,279
2025-11-20 05:10:00,388
2025-11-20 05:12:00,497
2025-11-20 05:14:00,601
2025-11-20 05:16:00,608
2025-11-20 05:18:00,610
2025-11-20 05:20:00,610
2025-11-20 05:22:00,610
2025-11-20 05:24:00,610
2025-11-20 05:26:00,610
2025-11-20 05:28:00,610
2025-11-20 05:30:00,632
2025-11-20 05:32:00,647
2025-11-20 05:34:00,654
2025-11-20 05:36:00,657
2025-11-20 05:38:00,600
2025-11-20 05:40:00,602
2025-11-20 05:42:00,604
2025-11-20 05:44:00,608
2025-11-20 05:46:00,658
2025-11-20 05:48:00,692
2025-11-20 05:50:00,740
2025-11-20 05:52:00,813
2025-11-20 05:54:00,861
2025-11-20 05:56:00,900
2025-11-20 05:58:00,911
2025-11-20 06:00:00,911
2025-11-20 06:02:00,919
2025-11-20 06:04:00,980
2025-11-20 06:06:00,1056
2025-11-20 06:08:00,1118
2025-11-20 06:10:00,1165
2025-11-20 06:12:00,1198
2025-11-20 06:14:00,1218
2025-11-20 06:16:00,1224
2025-11-20 06:18:00,1224
2025-11-20 06:20:00,1246
2025-11-20 06:22:00,1268
2025-11-20 06:24:00,1304
2025-11-20 06:26:00,1332
2025-11-20 06:28:00,1372
2025-11-20 06:30:00,1404
2025-11-20 06:32:00,1443
2025-11-20 06:34:00,1472
2025-11-20 06:36:00,1499
2025-11-20 06:38:00,1553
2025-11-20 06:40:00,1576
2025-11-20 06:42:00,1600
2025-11-20 06:44:00,1622
2025-11-20 06:46:00,1637
2025-11-20 06:48:00,1666
2025-11-20 06:50:00,1681
2025-11-20 06:52:00,1702
2025-11-20 06:54:00,1766
2025-11-20 06:56:00,1819
2025-11-20 06:58:00,1863
2025-11-20 07:00:00,1894
2025-11-20 07:02:00,1940
2025-11-20 07:04:00,1944
2025-11-20 07:06:00,1946
2025-11-20 07:08:00,1947
2025-11-20 07:10:00,1971
2025-11-20 07:12:00,2033
2025-11-20 07:14:00,2105
2025-11-20 07:16:00,2162
2025-11-20 07:18:00,2222
2025-11-20 07:20:00,2243
2025-11-20 07:22:00,2255
2025-11-20 07:24:00,2255
2025-11-20 07:26:00,2258
2025-11-20 07:28:00,2285
2025-11-20 07:30:00,2337
2025-11-20 07:32:00,2390
2025-11-20 07:34:00,2471
2025-11-20 07:36:00,2527
2025-11-20 07:38:00,2556
2025-11-20 07:40:00,2564
2025-11-20 07:42:00,2575
2025-11-20 07:44:00,2612
2025-11-20 07:46:00,2642
2025-11-20 07:48:00,2678
2025-11-20 07:50:00,2747
2025-11-20 07:52:00,2789
2025-11-20 07:54:00,2819
2025-11-20 07:56:00,2858
2025-11-20 07:58:00,2878
2025-11-20 08:00:00,2880
2025-11-20 08:02:00,2923
2025-11-20 08:04:00,2935
2025-11-20 08:06:00,2995
2025-11-20 08:08:00,3071
2025-11-20 08:10:00,3128
2025-11-20 08:12:00,3173
2025-11-20 08:14:00,3181
2025-11-20 08:16:00,3190
2025-11-20 08:18:00,3197
2025-11-20 08:20:00,3232
2025-11-20 08:22:00,3288
2025-11-20 08:24:00,3345
2025-11-20 08:26:00,3402
2025-11-20 08:28:00,3450
2025-11-20 08:30:00,3475
2025-11-20 08:32:00,3497
2025-11-20 08:34:00,3505
2025-11-20 08:36:00,3510
2025-11-20 08:38:00,3521
2025-11-20 08:40:00,3549
2025-11-20 08:42:00,3601
2025-11-20 08:44:00,3687
2025-11-20 08:46:00,3755
2025-11-20 08:48:00,3813
2025-11-20 08:50:00,3821
2025-11-20 08:52:00,3823
2025-11-20 08:54:00,3823
2025-11-20 08:56:00,3870
2025-11-20 08:58:00,3953
2025-11-20 09:00:00,4030
2025-11-20 09:02:00,4084
2025-11-20 09:04:00,4119
2025-11-20 09:06:00,4134
2025-11-20 09:08:00,4141
2025-11-20 09:10:00,4141
2025-11-20 09:12:00,4164
2025-11-20 09:14:00,4203
2025-11-20 09:16:00,4246
2025-11-20 09:18:00,4312
2025-11-20 09:20:00,4386
2025-11-20 09:22:00,4408
2025-11-20 09:24:00,4420
2025-11-20 09:26:00,4439
2025-11-20 09:28:00,4469
2025-11-20 09:30:00,4522
2025-11-20 09:32:00,4557
2025-11-20 09:34:00,4594
2025-11-20 09:36:00,4626
2025-11-20 09:38:00,4651
2025-11-20 09:40:00,4656
2025-11-20 09:42:00,4656
2025-11-20 09:44:00,4657
2025-11-20 09:46:00,4689
2025-11-20 09:48:00,4758
2025-11-20 09:50:00,4816
2025-11-20 09:52:00,4870
2025-11-20 09:54:00,4909
2025-11-20 09:56:00,4945
2025-11-20 09:58:00,4966
2025-11-20 10:00:00,4967
2025-11-20 10:02:00,4967
2025-11-20 10:04:00,4983
2025-11-20 10:06:00,5021
2025-11-20 10:08:00,5057
2025-11-20 10:10:00,5088
2025-11-20 10:12:00,5135
2025-11-20 10:14:00,5182
2025-11-20 10:16:00,5222
2025-11-20 10:18:00,5245
2025-11-20 10:20:00,5264
2025-11-20 10:22:00,5283
2025-11-20 10:24:00,5295
2025-11-20 10:26:00,5311
2025-11-20 10:28:00,5331
2025-11-20 10:30:00,5378
2025-11-20 10:32:00,5435
2025-11-20 10:34:00,5505
2025-11-20 10:36:00,5560
2025-11-20 10:38:00,5586
2025-11-20 10:40:00,5593
2025-11-20 10:42:00,5594
2025-11-20 10:44:00,5628
2025-11-20 10:46:00,5658
2025-11-20 10:48:00,5738
2025-11-20 10:50:00,5788
2025-11-20 10:52:00,5837
2025-11-20 10:54:00,5874
2025-11-20 10:56:00,5903
2025-11-20 10:58:00,5904
2025-11-20 11:00:00,5904
2025-11-20 11:02:00,5923
2025-11-20 11:04:00,5980
2025-11-20 11:06:00,5990
2025-11-20 11:08:00,6059
2025-11-20 11:10:00,6119
2025-11-20 11:12:00,6157
2025-11-20 11:14:00,6177
2025-11-20 11:16:00,6199
2025-11-20 11:18:00,6210
2025-11-20 11:20:00,6215
2025-11-20 11:22:00,6215
2025-11-20 11:24:00,6216
2025-11-20 11:26:00,6225
2025-11-20 11:28:00,6259
2025-11-20 11:30:00,6270
2025-11-20 11:32:00,6286
2025-11-20 11:34:00,6309
2025-11-20 11:36:00,6321
2025-11-20 11:38:00,6321
2025-11-20 11:40:00,6321
2025-11-20 11:42:00,6326
2025-11-20 11:44:00,6328
2025-11-20 11:46:00,6328
2025-11-20 11:48:00,6328
2025-11-20 11:50:00,6328
2025-11-20 11:52:00,6328
2025-11-20 11:54:00,6334
2025-11-20 11:56:00,6361
2025-11-20 11:58:00,6444
2025-11-20 12:00:00,6519
2025-11-20 12:02:00,6560
2025-11-20 12:04:00,6613
2025-11-20 12:06:00,6639
2025-11-20 12:08:00,6640
2025-11-20 12:10:00,6640
2025-11-20 12:12:00,6673
2025-11-20 12:14:00,6716
2025-11-20 12:16:00,6763
2025-11-20 12:18:00,6802
2025-11-20 12:20:00,6843
2025-11-20 12:22:00,6889
2025-11-20 12:24:00,6919
2025-11-20 12:26:00,6948
2025-11-20 12:28:00,6952
2025-11-20 12:30:00,6973
2025-11-20 12:32:00,6987
2025-11-20 12:34:00,7020
2025-11-20 12:36:00,7036
2025-11-20 12:38:00,7054
2025-11-20 12:40:00,7112
2025-11-20 12:42:00,7174
2025-11-20 12:44:00,7210
2025-11-20 12:46:00,7249
2025-11-20 12:48:00,7262
2025-11-20 12:50:00,7263
2025-11-20 12:52:00,7264
2025-11-20 12:54:00,7276
2025-11-20 12:56:00,7333
2025-11-20 12:58:00,7393
2025-11-20 13:00:00,7450
2025-11-20 13:02:00,7509
2025-11-20 13:04:00,7548
2025-11-20 13:06:00,7570
2025-11-20 13:08:00,7573
2025-11-20 13:10:00,7574
2025-11-20 13:12:00,7575
2025-11-20 13:14:00,7611
2025-11-20 13:16:00,7634
2025-11-20 13:18:00,7673
2025-11-20 13:20:00,7710
2025-11-20 13:22:00,7749
2025-11-20 13:24:00,7801
2025-11-20 13:26:00,7823
2025-11-20 13:28:00,7862
2025-11-20 13:30:00,7885
2025-11-20 13:32:00,7886
2025-11-20 13:34:00,7886
2025-11-20 13:36:00,7886
2025-11-20 13:38:00,7916
2025-11-20 13:40:00,7986
2025-11-20 13:42:00,8037
2025-11-20 13:44:00,8099
2025-11-20 13:46:00,8152
2025-11-20 13:48:00,8185
2025-11-20 13:50:00,8202
2025-11-20 13:52:00,8204
2025-11-20 13:54:00,8204
2025-11-20 13:56:00,8221
2025-11-20 13:58:00,8258
2025-11-20 14:00:00,8303
2025-11-20 14:02:00,8348
2025-11-20 14:04:00,8400
2025-11-20 14:06:00,8431
2025-11-20 14:08:00,8454
2025-11-20 14:10:00,8464
2025-11-20 14:12:00,8497
2025-11-20 14:14:00,8526
2025-11-20 14:16:00,8554
2025-11-20 14:18:00,8584
2025-11-20 14:20:00,8604
2025-11-20 14:22:00,8648
2025-11-20 14:24:00,8673
2025-11-20 14:26:00,8686
2025-11-20 14:28:00,8700
2025-11-20 14:30:00,8737
2025-11-20 14:32:00,8755
2025-11-20 14:34:00,8775
2025-11-20 14:36:00,8803
2025-11-20 14:38:00,8845
2025-11-20 14:40:00,8871
2025-11-20 14:42:00,8882
2025-11-20 14:44:00,8922
2025-11-20 14:46:00,8957
2025-11-20 14:48:00,8994
2025-11-20 14:50:00,9018
2025-11-20 14:52:00,9039
2025-11-20 14:54:00,9057
2025-11-20 14:56:00,9073
2025-11-20 14:58:00,9099
2025-11-20 15:00:00,9104
2025-11-20 15:02:00,9121
2025-11-20 15:04:00,9123
2025-11-20 15:06:00,9124
2025-11-20 15:08:00,9126
2025-11-20 15:10:00,9129
2025-11-20 15:12:00,9122
2025-11-20 15:14:00,9128
2025-11-20 15:16:00,9123
2025-11-20 15:18:00,9158
2025-11-20 15:20:00,9198
2025-11-20 15:22:00,9217
2025-11-20 15:24:00,9235
2025-11-20 15:26:00,9259
2025-11-20 15:28:00,9280
2025-11-20 15:30:00,9299
2025-11-20 15:32:00,9318
2025-11-20 15:34:00,9340
2025-11-20 15:36:00,9363
2025-11-20 15:38:00,9392
2025-11-20 15:40:00,9410
2025-11-20 15:42:00,9426
2025-11-20 15:44:00,9447
2025-11-20 15:46:00,9479
2025-11-20 15:48:00,9503
2025-11-20 15:50:00,9515
2025-11-20 15:52:00,9528
2025-11-20 15:54:00,9498
2025-11-20 15:56:00,9525
2025-11-20 15:58:00,9599
2025-11-20 16:00:00,9645
2025-11-20 16:02:00,9677
2025-11-20 16:04:00,9697
2025-11-20 16:06:00,9720
2025-11-20 16:08:00,9741
2025-11-20 16:10:00,9746
2025-11-20 16:12:00,9747
2025-11-20 16:14:00,9747
2025-11-20 16:16:00,9750
2025-11-20 16:18:00,9765
2025-11-20 16:20:00,9781
2025-11-20 16:22:00,9836
2025-11-20 16:24:00,9877
2025-11-20 16:26:00,9905
2025-11-20 16:28:00,9943
2025-11-20 16:30:00,9973
2025-11-20 16:32:00,10009
2025-11-20 16:34:00,10038
2025-11-20 16:36:00,10060
2025-11-20 16:38:00,10072
2025-11-20 16:40:00,10079
2025-11-20 16:42:00,10094
2025-11-20 16:44:00,10105
2025-11-20 16:46:00,10131
2025-11-20 16:48:00,10195
2025-11-20 16:50:00,10238
2025-11-20 16:52:00,10295
2025-11-20 16:54:00,10312
2025-11-20 16:56:00,10329
2025-11-20 16:58:00,10353
2025-11-20 17:00:00,10365
2025-11-20 17:02:00,10372
2025-11-20 17:04:00,10408
2025-11-20 17:06:00,10443
2025-11-20 17:08:00,10497
2025-11-20 17:10:00,10536
2025-11-20 17:12:00,10579
2025-11-20 17:14:00,10648
2025-11-20 17:16:00,10673
2025-11-20 17:18:00,10692
2025-11-20 17:20:00,10704
2025-11-20 17:22:00,10711
2025-11-20 17:24:00,10730
2025-11-20 17:26:00,10744
2025-11-20 17:28:00,10763
2025-11-20 17:30:00,10796
2025-11-20 17:32:00,10849
2025-11-20 17:34:00,10905
2025-11-20 17:36:00,10954
2025-11-20 17:38:00,11020
2025-11-20 17:40:00,11056
2025-11-20 17:42:00,11088
2025-11-20 17:44:00,11119
2025-11-20 17:46:00,11131
2025-11-20 17:48:00,11155
2025-11-20 17:50:00,11171
2025-11-20 17:52:00,11210
2025-11-20 17:54:00,11255
2025-11-20 17:56:00,11305
2025-11-20 17:58:00,11351
2025-11-20 18:00:00,11407
2025-11-20 18:02:00,11429
2025-11-20 18:04:00,11450
2025-11-20 18:06:00,11460
2025-11-20 18:08:00,11463
2025-11-20 18:10:00,11463
2025-11-20 18:12:00,11464
2025-11-20 18:14:00,11469
2025-11-20 18:16:00,11496
2025-11-20 18:18:00,11504
2025-11-20 18:20:00,11527
2025-11-20 18:22:00,11543
2025-11-20 18:24:00,11568
2025-11-20 18:26:00,11617
2025-11-20 18:28:00,11653
2025-11-20 18:30:00,11702
2025-11-20 18:32:00,11748
2025-11-20 18:34:00,11793
2025-11-20 18:36:00,11837
2025-11-20 18:38:00,11864
2025-11-20 18:40:00,11911
2025-11-20 18:42:00,11946
2025-11-20 18:44:00,11954
2025-11-20 18:46:00,11974
2025-11-20 18:48:00,12006
2025-11-20 18:50:00,12043
2025-11-20 18:52:00,12060
2025-11-20 18:54:00,12114
2025-11-20 18:56:00,12150
2025-11-20 18:58:00,12173
2025-11-20 19:00:00,12199
2025-11-20 19:02:00,12256
2025-11-20 19:04:00,12292
2025-11-20 19:06:00,12317
2025-11-20 19:08:00,12360
2025-11-20 19:10:00,12383
2025-11-20 19:12:00,12399
2025-11-20 19:14:00,12415
2025-11-20 19:16:00,12425
2025-11-20 19:18:00,12431
2025-11-20 19:20:00,12429
2025-11-20 19:22:00,12429
2025-11-20 19:24:00,12440
2025-11-20 19:26:00,12504
2025-11-20 19:28:00,12549
2025-11-20 19:30:00,12607
2025-11-20 19:32:00,12670
2025-11-20 19:34:00,12718
2025-11-20 19:36:00,12747
2025-11-20 19:38:00,12764
2025-11-20 19:42:00,12862
2025-11-20 19:44:00,12914
2025-11-20 19:46:00,12943
2025-11-20 19:48:00,12980
2025-11-20 19:50:00,13026
2025-11-20 19:52:00,13061
2025-11-20 19:54:00,13083
2025-11-20 19:56:00,13125
2025-11-20 19:58:00,13164
2025-11-20 20:00:00,13187
2025-11-20 20:02:00,13217
2025-11-20 20:04:00,13246
2025-11-20 20:06:00,13309
2025-11-20 20:08:00,13365
2025-11-20 20:10:00,13418
2025-11-20 20:12:00,13461
2025-11-20 20:14:00,13504
2025-11-20 20:16:00,13533
2025-11-20 20:18:00,13537
2025-11-20 20:20:00,13538
2025-11-20 20:22:00,13548
2025-11-20 20:24:00,13572
2025-11-20 20:26:00,13641
2025-11-20 20:28:00,13720
2025-11-20 20:30:00,13767
2025-11-20 20:32:00,13825
2025-11-20 20:34:00,13841
2025-11-20 20:36:00,13846
2025-11-20 20:38:00,13847
2025-11-20 20:40:00,13872
2025-11-20 20:42:00,13930
2025-11-20 20:44:00,13984
2025-11-20 20:46:00,14030
2025-11-20 20:48:00,14088
2025-11-20 20:50:00,14128
2025-11-20 20:52:00,14152
2025-11-20 20:54:00,14153
2025-11-20 20:56:00,14156
2025-11-20 20:58:00,14184
2025-11-20 21:00:00,14239
2025-11-20 21:02:00,14301
2025-11-20 21:04:00,14343
2025-11-20 21:06:00,14375
2025-11-20 21:08:00,14418
2025-11-20 21:10:00,14439
2025-11-20 21:12:00,14462
2025-11-20 21:14:00,14463
2025-11-20 21:16:00,14474
2025-11-20 21:18:00,14492
2025-11-20 21:20:00,14529
2025-11-20 21:22:00,14576
2025-11-20 21:24:00,14637
2025-11-20 21:26:00,14659
2025-11-20 21:28:00,14682
2025-11-20 21:30:00,14719
2025-11-20 21:32:00,14743
2025-11-20 21:34:00,14761
2025-11-20 21:36:00,14768
2025-11-20 21:38:00,14769
2025-11-20 21:40:00,14769
2025-11-20 21:42:00,14769
2025-11-20 21:44:00,14787
2025-11-20 21:46:00,14812
2025-11-20 21:48:00,14842
2025-11-20 21:50:00,14879
2025-11-20 21:52:00,14915
2025-11-20 21:54:00,14951
2025-11-20 21:56:00,14966
2025-11-20 21:58:00,14972
2025-11-20 22:00:00,14972
2025-11-20 22:04:00,15018
2025-11-20 22:06:00,15065
2025-11-20 22:08:00,15112
2025-11-20 22:10:00,15131
2025-11-20 22:12:00,15160
2025-11-20 22:14:00,15177
2025-11-20 22:16:00,15178
2025-11-20 22:18:00,15203
2025-11-20 22:20:00,15223
2025-11-20 22:22:00,15268
2025-11-20 22:24:00,15308
2025-11-20 22:26:00,15350
2025-11-20 22:28:00,15373
2025-11-20 22:30:00,15384
2025-11-20 22:32:00,15384
2025-11-20 22:34:00,15385
2025-11-20 22:36:00,15388
2025-11-20 22:38:00,15416
2025-11-20 22:40:00,15446
2025-11-20 22:42:00,15485
2025-11-20 22:44:00,15523
2025-11-20 22:46:00,15572
2025-11-20 22:48:00,15589
2025-11-20 22:50:00,15591
2025-11-20 22:52:00,15592
2025-11-20 22:54:00,15592
2025-11-20 22:56:00,15594
2025-11-20 22:58:00,15595
2025-11-20 23:00:00,15597
2025-11-20 23:02:00,15632
2025-11-20 23:04:00,15686
2025-11-20 23:06:00,15733
2025-11-20 23:08:00,15762
2025-11-20 23:10:00,15789
2025-11-20 23:12:00,15798
2025-11-20 23:14:00,15799
2025-11-20 23:16:00,15799
2025-11-20 23:18:00,15823
2025-11-20 23:20:00,15883
2025-11-20 23:22:00,15913
2025-11-20 23:24:00,15936
2025-11-20 23:26:00,15954
2025-11-20 23:28:00,15984
2025-11-20 23:30:00,15999
2025-11-20 23:32:00,16006
2025-11-20 23:34:00,16006
2025-11-20 23:36:00,16025
2025-11-20 23:38:00,16049
2025-11-20 23:40:00,16092
2025-11-20 23:42:00,16136
2025-11-20 23:44:00,16157
2025-11-20 23:46:00,16180
2025-11-20 23:48:00,16199
2025-11-20 23:50:00,16212
2025-11-20 23:52:00,16236
2025-11-20 23:54:00,16247
2025-11-20 23:56:00,16269
2025-11-20 23:58:00,16329
2025-11-21 00:00:00,16354
2025-11-21 00:02:00,16371
2025-11-21 00:04:00,16386
2025-11-21 00:06:00,16381
2025-11-21 00:08:00,16394
2025-11-21 00:10:00,16407
2025-11-21 00:12:00,16438
2025-11-21 00:14:00,16495
2025-11-21 00:16:00,16495
2025-11-21 00:18:00,16495
2025-11-21 00:50:00,17237
2025-11-21 00:52:00,17253
2025-11-21 00:54:00,17275
2025-11-21 00:56:00,17293
2025-11-21 00:58:00,17302
2025-11-21 01:00:00,17358
2025-11-21 01:02:00,17376
2025-11-21 01:04:00,17402
2025-11-21 01:06:00,17419
2025-11-21 01:08:00,17421
2025-11-21 01:10:00,17424
2025-11-21 01:12:00,17426
2025-11-21 01:14:00,17426
2025-11-21 01:16:00,17426
2025-11-21 01:18:00,17426
2025-11-21 01:20:00,17426
2025-11-21 01:22:00,17429
2025-11-21 01:24:00,17430
2025-11-21 01:26:00,17430
2025-11-21 01:28:00,17430
2025-11-21 01:30:00,17431
2025-11-21 01:32:00,17434
2025-11-21 01:34:00,17436
2025-11-21 01:36:00,17436
2025-11-21 01:38:00,17437
2025-11-21 01:40:00,17439
2025-11-21 01:42:00,17440
2025-11-21 01:44:00,17441
2025-11-21 01:46:00,17441
2025-11-21 01:48:00,17443
2025-11-21 01:50:00,17443
2025-11-21 01:52:00,17443
2025-11-21 01:54:00,17443
2025-11-21 01:56:00,17446
2025-11-21 01:58:00,17446
2025-11-21 02:00:00,17447
2025-11-21 02:02:00,17448
2025-11-21 02:04:00,17451
2025-11-21 02:06:00,17452
2025-11-21 02:08:00,17452
2025-11-21 02:10:00,17453
2025-11-21 02:12:00,17453
2025-11-21 02:14:00,17455
2025-11-21 02:16:00,17457
2025-11-21 02:18:00,17458
2025-11-21 02:20:00,17459
2025-11-21 02:22:00,17461
2025-11-21 02:24:00,17461
2025-11-21 02:26:00,17462
2025-11-21 02:28:00,17462
2025-11-21 02:30:00,17462
2025-11-21 02:32:00,17465
2025-11-21 02:34:00,17467
2025-11-21 02:36:00,17467
2025-11-21 02:38:00,17468
2025-11-21 02:40:00,17470
2025-11-21 02:42:00,17470
2025-11-21 02:44:00,17470
2025-11-21 02:46:00,17470
2025-11-21 02:48:00,17470
2025-11-21 02:50:00,17470
2025-11-21 02:52:00,17471
2025-11-21 02:54:00,17471
2025-11-21 02:56:00,17471
2025-11-21 02:58:00,17471
2025-11-21 03:00:00,17473
2025-11-21 03:02:00,17476
2025-11-21 03:04:00,17476
2025-11-21 03:06:00,17477
2025-11-21 03:08:00,17478
2025-11-21 03:10:00,17482
2025-11-21 03:12:00,17485
2025-11-21 03:14:00,17485
2025-11-21 03:16:00,17485
2025-11-21 03:18:00,17486
2025-11-21 03:20:00,17488
2025-11-21 03:22:00,17488
2025-11-21 03:24:00,17491
2025-11-21 03:26:00,17492
2025-11-21 03:28:00,17492
2025-11-21 03:30:00,17494
2025-11-21 03:32:00,17496
2025-11-21 03:34:00,17498
2025-11-21 03:36:00,17498
2025-11-21 03:38:00,17500
2025-11-21 03:40:00,17500
2025-11-21 03:42:00,17500
2025-11-21 03:44:00,17500
2025-11-21 03:46:00,17500
2025-11-21 03:48:00,17501
2025-11-21 03:50:00,17501
2025-11-21 03:52:00,17503
2025-11-21 03:54:00,17504
2025-11-21 03:56:00,17504
2025-11-21 03:58:00,17504
2025-11-21 04:00:00,17504
2025-11-21 04:02:00,17504
2025-11-21 04:04:00,17505
2025-11-21 04:06:00,17507
2025-11-21 04:08:00,17509
2025-11-21 04:10:00,17509
2025-11-21 04:12:00,17509
2025-11-21 04:14:00,17509
2025-11-21 04:16:00,17510
2025-11-21 04:18:00,17512
2025-11-21 04:20:00,17512
2025-11-21 04:22:00,17513
2025-11-21 04:24:00,17515
2025-11-21 04:26:00,17515
2025-11-21 04:28:00,17515
2025-11-21 04:30:00,17515
2025-11-21 04:32:00,17519
2025-11-21 04:34:00,17520
2025-11-21 04:36:00,17520
2025-11-21 04:38:00,17520
2025-11-21 04:40:00,17520
2025-11-21 04:42:00,17520
2025-11-21 04:44:00,17520
2025-11-21 04:46:00,17520
2025-11-21 04:48:00,17520
2025-11-21 04:50:00,17521
2025-11-21 04:52:00,17527
2025-11-21 04:54:00,17528
2025-11-21 04:56:00,17531
2025-11-21 04:58:00,17502
2025-11-21 05:00:00,17506

